"fm","alpha","nominal","ece_in","ece_shift","acc_shift","split_cov","split_cov_lo","split_cov_hi","mond_cov","mond_cov_lo","mond_cov_hi","mond_size","mond_size_lo","mond_size_hi","split_size","split_size_lo","split_size_hi","restored"
"Prithvi-EO-2.0",0.05,0.95,0.0261190885797387,0.108669923150976,0.832772166105499,0.8329645662979,0.826373233439019,0.83955589915678,0.954657687991021,0.950002868095348,0.959312507886695,1.61879108545775,1.54926107360104,1.68832109731447,1.0002886002886,0.999754411716172,1.00082278886103,TRUE
"Prithvi-EO-2.0",0.1,0.9,0.0261190885797387,0.108669923150976,0.832772166105499,0.832772166105499,0.825945133046951,0.839599199164048,0.911399711399711,0.905894141452899,0.916905281346523,1.28722142055475,1.25794388497733,1.31649895613217,1,1,1,TRUE
"Prithvi-EO-2.0",0.2,0.8,0.0261190885797387,0.108669923150976,0.832772166105499,0.832772166105499,0.825945133046951,0.839599199164048,0.856277056277056,0.842007981666055,0.870546130888057,1.070354337021,1.0396322367375,1.1010764373045,1,1,1,FALSE
"Clay v1.5",0.05,0.95,0.0133976360822231,0.0566433248028351,0.918229918229918,0.918229918229918,0.913199445537884,0.923260390921952,0.96017316017316,0.954817196356806,0.965529123989514,1.22347282347282,1.15869543789558,1.28825020905007,1,1,1,TRUE
"Clay v1.5",0.1,0.9,0.0133976360822231,0.0566433248028351,0.918229918229918,0.918229918229918,0.913199445537884,0.923260390921952,0.935513868847202,0.93003934084552,0.940988396848884,1.05653358986692,1.03133258382389,1.08173459590996,1,1,1,FALSE
"Clay v1.5",0.2,0.8,0.0133976360822231,0.0566433248028351,0.918229918229918,0.918229918229918,0.913199445537884,0.923260390921952,0.918229918229918,0.913199445537884,0.923260390921952,1,1,1,1,1,1,FALSE
"SSL4EO-S12 (DINO)",0.05,0.95,0.0143205324353579,0.0756764553567791,0.879910213243547,0.879910213243547,0.854424432195515,0.905395994291579,0.955972422639089,0.950601679645038,0.961343165633141,1.43434343434343,1.28849735813477,1.5801895105521,1,1,1,TRUE
"SSL4EO-S12 (DINO)",0.1,0.9,0.0143205324353579,0.0756764553567791,0.879910213243547,0.879910213243547,0.854424432195515,0.905395994291579,0.925573192239859,0.919950450438335,0.931195934041383,1.17453904120571,1.06193165159828,1.28714643081313,1,1,1,FALSE
"SSL4EO-S12 (DINO)",0.2,0.8,0.0143205324353579,0.0756764553567791,0.879910213243547,0.879910213243547,0.854424432195515,0.905395994291579,0.888600288600289,0.876075303664385,0.901125273536192,1.02565335898669,0.977455358141287,1.0738513598321,1,1,1,FALSE
"SSL4EO-S12 (MAE)",0.05,0.95,0.00476237950540695,0.0650477819782973,0.898444765111432,0.898444765111432,0.890981774966887,0.905907755255976,0.962065095398429,0.957452614309725,0.966677576487132,1.39345839345839,1.20577304632871,1.58114374058808,1,1,1,TRUE
"SSL4EO-S12 (MAE)",0.1,0.9,0.00476237950540695,0.0650477819782973,0.898444765111432,0.898444765111432,0.890981774966887,0.905907755255976,0.9335898669232,0.929572585748424,0.937607148097976,1.14814814814815,1.08093133571755,1.21536496057874,1,1,1,FALSE
"SSL4EO-S12 (MAE)",0.2,0.8,0.00476237950540695,0.0650477819782973,0.898444765111432,0.898444765111432,0.890981774966887,0.905907755255976,0.905050505050505,0.902086279874588,0.908014730226422,1.01946448613115,0.992421565198654,1.04650740706365,1,1,1,FALSE
"DOFA",0.05,0.95,0.0171520099451607,0.092683945989958,0.850697450697451,0.850697450697451,0.839399400977953,0.861995500416949,0.950649350649351,0.9426323189034,0.958666382395301,1.58393458393458,1.37675082606127,1.7911183418079,1,1,1,TRUE
"DOFA",0.1,0.9,0.0171520099451607,0.092683945989958,0.850697450697451,0.850697450697451,0.839399400977953,0.861995500416949,0.91348404681738,0.904190385228924,0.922777708405837,1.28747795414462,1.1337784652075,1.44117744308174,1,1,1,TRUE
"DOFA",0.2,0.8,0.0171520099451607,0.092683945989958,0.850697450697451,0.850697450697451,0.839399400977953,0.861995500416949,0.873015873015873,0.868984803632762,0.877046942398984,1.08067981401315,1.00714174015875,1.15421788786755,1,1,1,FALSE
