fm,label,mAP_in,ece_in,fnr_sh,fnr_rep,set_size,in_n5,arch
prithvi,Prithvi,0.4320140065101515,0.08241599499619347,0.1299711230345033,0.03126914263357926,15.500112866817156,yes,ViT
ssl4eo,SSL4EO-DINO,0.5591920511449275,0.027897353974785728,0.19052751695357326,0.031668436545197104,10.611512415349887,yes,ViT
clay,Clay,0.5020620549039905,0.07848318074735194,0.17616798010283924,0.02231388329979879,13.290744920993228,yes,ViT
ssl4eo_mae,SSL4EO-MAE,0.5495755837704082,0.03719057700043989,0.1695140286161413,0.030114296892465902,11.768397291196388,yes,ViT
dofa,DOFA,0.4586150152530505,0.05698763954199058,0.169196568298681,0.021462804605410238,13.039164785553048,yes,ViT
ssl4eo_moco,SSL4EO-MoCo,0.5817379299563807,0.03248671240136049,0.17064092890677401,0.028336873090394215,10.739729119638826,no,ViT
resnet50_moco,ResNet50-MoCo,0.5479010741469632,0.07297776829345073,0.23419647514717937,0.0019776995305164323,12.486343115124154,no,CNN
resnet50_dino,ResNet50-DINO,0.5506715436473005,0.055150982568151395,0.23243581861539608,0.014012407780013414,10.760045146726862,no,CNN
softcon_vitb14,SoftCon-ViT-B,0.5245126678900539,0.032991179194573436,0.17387468328489455,0.030839667635442283,11.944356659142212,no,ViT
softcon_vits14,SoftCon-ViT-S,0.5247188505217706,0.02021099654219836,0.21309854497354497,0.03614054698561741,10.692776523702031,no,ViT
vit_large_mae,SSL4EO-MAE-L,0.5496051136825386,0.03781893036956372,0.15534759482822863,0.029485710559654224,11.944130925507901,no,ViT
croma_base,CROMA-B,0.5438398973208853,0.04629955108220285,0.18171487256874583,0.030035770176615247,12.078893905191874,no,ViT
croma_large,CROMA-L,0.5411800431558864,0.03695404643814365,0.16882023623220804,0.024277051196065276,11.644018058690746,no,ViT
